100000 400000
106 45661 38
106 46271 74
106 53005 84
106 81224 64
106 83449 93
107 16667 15
107 34311 32
107 47462 50
108 5367 45
108 13328 14
108 16903 62
108 56361 43
108 59179 1
108 89110 93
109 6124 12
109 15138 23
109 29966 77
110 10089 80
110 22790 60
110 39227 52
110 48543 29
110 62162 5
110 67827 10
110 85648 27
112 570 19
112 17940 21
112 68355 45
113 60429 84
113 88219 87
114 31584 97
114 69405 8
115 3549 25
116 21083 71
116 52040 91
116 92761 89
117 67211 64
118 4859 6
118 12519 20
118 15730 13
118 28331 50
118 38594 34
118 49425 75
118 56057 93
118 62616 34
118 69648 67
119 6090 5
119 7154 56
119 42479 43
119 50674 84
119 97656 16
120 33684 94
120 44189 13
120 55314 21
121 19430 4
121 61196 40
121 76140 39
122 13265 25
122 32169 84
122 72679 22
123 15411 12
123 37377 81
123 40974 30
123 83835 37
124 18608 52
124 76905 20
125 59683 25
125 60826 15
126 9370 25
126 9651 45
126 14356 28
126 27112 75
126 30545 78
126 51764 3
126 58522 68
126 61588 12
126 73107 69
127 33614 72
127 91791 68
127 92226 12
128 39307 55
128 55335 83
128 94233 6
129 5190 67
129 15079 3
130 2867 10
130 17236 7
130 28438 42
130 56547 34
131 37649 91
131 39419 64
131 45456 46
131 49161 71
131 88282 93
132 25908 82
132 43205 23
132 57521 13
132 61675 7
132 78423 38
133 13502 37
133 92227 52
133 95456 66
134 11215 12
134 26281 30
134 74784 68
135 19558 79
135 65244 41
136 91161 37
136 92170 50
137 356 9
137 24986 48
137 84014 5
137 89065 92
138 86347 54
139 1809 72
139 6010 95
139 6709 63
139 26829 78
139 35138 36
139 48468 97
139 59342 68
139 77576 99
139 98365 43
140 33541 39
140 63632 92
140 73020 25
141 6979 62
141 21952 4
141 26641 31
141 33633 100
141 60273 41
141 68376 83
141 90006 65
142 22823 53
142 37528 12
143 58371 33
143 81542 31
143 81613 53
143 85688 69
143 97633 81
144 11694 61
144 69068 17
144 97880 86
145 40445 52
145 49248 71
146 14497 57
146 43991 46
146 51453 33
146 58162 35
146 72362 82
146 84059 30
147 45072 2
147 63344 81
148 15278 72
148 74219 41
148 78729 72
148 92699 96
149 21774 2
149 36662 76
149 36749 27
149 53319 1
149 67420 17
149 93423 9
150 10490 66
150 32216 69
150 78257 20
150 86299 98
150 92757 100
151 11977 73
151 13153 67
151 30357 81
151 71875 34
151 71937 84
151 75568 66
152 10621 85
152 32442 54
152 38441 23
152 41460 31
152 95713 87
153 29209 57
153 50743 12
153 89828 16
154 21973 59
154 23209 93
154 61420 87
154 71379 99
155 31328 64
155 38404 83
155 89915 1
155 90370 40
155 92855 9
156 431 1
156 9782 57
156 10684 17
156 26598 67
156 41229 26
156 49217 37
156 78161 65
156 86095 25
156 91066 9
156 95845 31
157 8031 6
157 12689 42
157 25350 14
157 25518 72
157 36995 27
157 64068 68
157 82909 94
158 25467 58
159 57194 54
159 61974 51
159 85449 70
160 22757 70
160 24675 9
160 40995 62
160 83196 56
161 11951 8
161 55360 26
161 81420 38
161 83803 8
162 70877 66
162 75223 47
162 98873 9
164 6568 22
164 28120 63
164 38114 75
164 43224 47
164 49978 100
165 10472 39
165 27027 72
165 30491 9
165 64486 70
166 8748 77
166 35433 51
166 62387 84
166 63669 48
166 66869 77
166 76386 51
166 82067 42
167 2342 35
167 92684 5
168 7031 92
168 36802 4
168 78964 74
168 93598 1
169 6318 66
169 16858 30
169 31961 8
169 35864 91
170 19987 68
170 22891 15
170 29440 56
171 56449 14
171 63094 23
171 85422 77
172 21571 77
172 37324 98
172 45427 23
172 53160 76
172 56368 36
172 66706 94
172 93501 84
173 27845 5
173 46823 71
173 68926 34
173 69647 88
174 84515 19
175 37308 11
175 70206 38
176 62296 60
176 64211 46
176 78234 42
176 79344 52
177 5283 49
177 27894 16
177 42004 52
177 54688 14
177 71414 45
177 81681 59
177 82326 5
177 85834 12
178 45630 74
178 59591 60
178 60458 25
179 29154 96
179 33282 37
179 36820 1
179 45594 93
180 9607 59
180 10003 77
180 39799 29
180 61146 53
180 94445 60
181 2606 33
181 8496 24
181 35385 94
181 72859 20
181 79421 42
182 22515 4
182 71829 58
182 77626 1
183 7909 50
183 57769 100
183 59423 52
183 61614 98
184 10854 16
184 66832 4
184 68509 12
184 92921 60
185 94235 62
186 4677 16
186 22855 71
186 66755 35
186 72886 76
186 81692 96
186 87541 31
187 15634 12
188 1484 97
189 26447 24
189 35500 71
189 54756 73
189 69032 52
189 73043 23
189 83311 32
189 91781 85
190 27184 46
190 29800 25
190 57745 5
190 62452 87
190 67326 29
190 78080 62
190 98280 88
191 19395 78
191 64190 62
191 65085 40
191 81654 76
192 5115 77
192 15886 43
192 49743 88
192 57549 37
192 73763 5
192 98729 3
193 13054 7
193 26314 40
193 41105 79
193 84171 3
194 25106 70
194 31912 90
194 35585 99
194 49233 94
194 65119 60
194 79470 71
195 49427 45
195 72297 83
196 42372 2
196 53420 29
196 62820 29
196 79427 27
197 62303 33
197 63457 15
198 20560 56
198 79194 95
198 86086 3
199 51519 34
199 86993 57
200 83624 42
200 93174 10
201 31743 34
201 57673 84
201 58099 97
201 59331 70
201 69688 88
201 81683 100
201 98012 77
202 7904 27
202 8616 78
202 15011 79
202 17790 97
202 31592 68
202 44112 77
202 73811 90
202 82367 27
202 93388 48
203 45502 35
203 60300 9
203 64794 50
203 91905 63
203 97484 37
204 45508 76
205 3906 96
205 11087 52
206 24230 32
206 62118 91
207 797 55
207 28910 66
207 97888 47
208 21761 96
208 35913 75
208 78217 81
208 86283 80
209 21881 71
209 43257 50
209 66553 68
210 48826 70
210 62450 27
211 13287 94
211 15793 48
211 35599 5
211 37381 91
211 37861 15
211 69593 82
211 84509 81
211 92103 42
212 17620 29
212 44108 15
212 54146 50
212 58342 79
212 75758 78
212 80860 87
212 98039 54
213 13132 73
213 13164 39
213 15769 86
213 72019 64
214 27156 93
215 25842 51
215 61491 11
216 3385 89
216 13196 25
216 54366 91
217 9397 68
217 22708 96
217 24672 41
217 94872 35
218 38667 66
218 41181 67
218 42443 29
218 95078 13
219 18822 72
219 26455 20
219 29558 28
219 57803 54
220 2256 100
220 34913 69
221 9204 83
221 12822 14
221 37904 19
222 91310 61
223 3792 91
223 14652 6
223 71434 15
224 325 64
224 22357 45
224 23659 100
224 27683 27
224 58246 38
224 80728 51
225 6345 38
225 10023 26
225 69668 76
225 70187 28
225 74091 94
226 6563 71
226 20800 69
226 44124 28
227 2298 37
227 9649 36
227 11195 57
227 18559 50
227 53156 8
227 57320 76
227 60110 77
227 87471 61
228 17608 75
228 32242 46
228 50395 44
228 64988 89
229 9089 64
229 56863 4
229 72318 79
230 23728 70
230 73311 18
231 50707 43
231 72994 14
231 85585 18
232 12328 70
232 31703 51
232 38471 69
232 48761 7
232 54485 76
232 64673 44
232 90202 35
233 19856 69
233 59562 15
233 72972 3
233 86542 97
234 70461 51
234 71879 39
235 3270 54
235 18339 100
235 28392 46
235 56044 30
235 75392 77
235 99049 6
236 16720 5
236 22057 22
236 53214 49
236 54909 93
236 67358 85
236 68165 53
236 76985 72
236 81872 55
237 12606 71
237 40054 14
237 43020 68
237 60778 89
237 70578 84
237 86909 18
237 98131 57
238 3223 90
238 27031 94
238 28574 1
238 48549 24
238 54977 63
238 55459 15
238 61558 27
238 71299 59
238 71337 66
238 83693 65
238 87118 13
238 89077 65
239 6709 11
239 19745 42
239 48127 41
239 72222 16
239 77866 46
239 92688 63
240 18330 65
240 22933 39
240 56291 48
240 75507 18
240 91576 10
240 94732 2
241 33181 88
241 48843 24
241 53331 69
241 89250 76
242 25972 7
242 45649 87
242 81215 33
242 82224 97
243 18790 80
243 19514 33
243 24097 21
243 58847 42
244 18605 48
244 44318 48
244 44436 1
244 71816 13
244 90275 13
245 11808 13
245 12342 78
245 46690 23
245 68094 55
247 48070 19
248 64723 38
248 80272 1
249 31817 81
249 36738 3
249 44383 39
249 59786 28
249 94829 20
250 10742 49
250 51395 29
250 84260 8
250 89907 73
251 8784 98
251 18214 83
251 26479 79
251 66944 84
252 1947 15
252 14833 76
252 20505 64
252 23900 48
252 36079 97
253 868 5
253 15990 95
253 52079 44
253 76021 6
253 92641 7
254 1833 56
254 30192 19
254 75172 84
254 88294 78
255 12227 74
255 87486 2
256 652 16
256 18514 74
256 38770 83
256 92321 19
257 868 12
257 12159 10
257 38255 39
257 48361 61
257 65893 39
258 6348 46
258 21120 33
258 89706 37
259 24945 29
259 45675 12
259 81653 20
259 83187 44
260 16960 87
260 36314 84
260 47158 91
260 51463 83
260 64478 88
260 89255 85
260 93511 27
260 99047 94
261 39286 92
261 82166 82
262 3075 12
262 18402 75
262 25521 60
262 54235 86
262 67888 77
262 68732 76
262 81512 59
262 99662 59
262 99812 94
263 8352 71
263 12491 69
263 32911 32
263 48896 31
263 61656 8
264 87635 78
265 27246 64
265 35066 44
265 49865 6
265 66216 75
265 84709 64
265 85820 49
265 92871 62
265 99515 47
266 20069 39
266 36391 44
266 41697 35
266 80707 24
266 88771 71
266 89952 28
267 28434 15
267 43339 52
267 79193 40
267 82413 90
268 23955 12
268 62449 25
268 96508 66
269 24463 87
269 32864 84
269 67142 25
269 85239 80
269 91576 54
270 6082 93
270 52808 12
270 79896 85
270 81657 100
271 15962 89
271 16717 48
271 32685 43
271 39676 94
271 39912 22
271 91806 6
272 3907 43
272 5817 83
272 10630 52
272 92400 81
272 97933 27
273 3784 87
273 42967 5
273 45983 97
273 61117 14
273 88762 19
274 2589 49
274 12100 54
274 22649 8
274 46629 60
274 52783 78
274 62474 73
275 6847 46
275 8002 61
275 10680 97
275 41686 26
275 47572 15
275 51201 90
275 59422 37
276 36287 99
276 50758 90
276 57632 26
276 89515 46
276 96374 32
277 6670 19
277 23045 68
278 40935 38
278 63026 61
279 24153 50
279 38897 90
279 44149 42
279 67864 77
280 23786 76
280 23964 46
280 33566 73
280 97379 90
281 35424 64
281 36433 21
281 66349 43
281 72972 72
281 79078 81
281 79436 21
281 79914 45
281 88998 27
282 4192 82
282 25490 42
282 35436 52
282 90080 96
282 99475 31
283 7218 89
283 18880 95
283 22454 20
283 40137 14
284 40147 41
284 58448 52
284 67537 33
284 84816 8
285 14622 90
286 12347 93
286 14893 57
286 18665 80
286 24238 35
286 52313 33
286 59085 56
286 98081 81
287 34241 6
287 36242 45
287 49462 45
287 50500 27
287 82197 88
287 94739 16
288 4869 8
288 11434 9
288 33920 60
288 43553 34
288 55294 90
288 56267 1
288 83100 86
288 87577 86
289 20181 32
289 64856 74
289 76527 80
289 81877 52
289 91510 88
290 78904 20
290 96622 3
291 2044 20
291 33737 28
291 34816 93
291 62007 13
292 1430 85
292 2468 72
292 20652 48
292 57891 18
293 32646 27
293 59406 28
293 71891 23
293 73759 72
293 92958 72
293 95126 50
294 14951 59
294 76911 87
294 94511 57
294 98770 68
295 17688 47
295 37923 90
295 62657 57
295 76188 48
295 76196 76
296 24137 43
297 62648 79
298 4696 49
298 39979 22
298 88970 30
298 99261 37
299 21009 42
299 31511 33
299 31555 56
299 56090 69
299 63621 25
299 97734 69
300 57281 54
301 13637 97
301 18020 16
301 23081 71
301 40581 24
301 58567 43
302 36684 93
302 41384 96
302 43327 15
302 66681 42
302 78137 55
303 68305 2
303 69430 99
303 95934 22
304 4421 48
305 14996 89
305 70660 78
305 96527 95
306 6134 64
306 10319 20
306 67843 74
307 25575 13
307 40722 42
307 76793 3
307 82913 49
308 26035 84
308 38515 36
308 47279 4
308 78377 53
309 8565 61
309 43048 73
309 85070 6
309 86280 57
309 90636 88
309 94578 76
310 788 81
310 24859 31
310 52188 69
310 76411 76
310 86555 45
311 17442 11
311 21377 30
311 40021 46
312 26439 9
312 40437 51
312 65815 93
312 89509 97
312 90324 29
313 2763 88
313 9330 60
313 9972 49
313 58986 61
313 63051 72
313 63560 91
314 4470 64
314 41628 21
314 68705 74
315 53927 99
315 95524 25
315 96258 27
316 23549 59
316 31422 97
316 62359 32
317 11462 16
317 12140 85
317 19617 8
317 94284 97
318 15403 15
318 15710 76
318 16125 72
318 21103 59
318 89499 86
319 11039 2
319 33609 5
319 42668 95
320 41861 52
320 62404 98
320 79086 92
320 83301 81
320 87816 85
321 18417 51
322 5822 29
322 9793 46
322 22624 23
322 37492 19
323 7450 9
323 7472 44
323 18095 93
323 66738 8
323 91574 68
325 6721 19
325 46139 66
325 78173 64
325 92938 51
325 97361 82
326 22239 48
326 31890 58
326 70620 78
327 14091 63
327 24019 33
327 28559 50
327 55831 21
328 22849 19
328 30127 51
328 32455 25
328 56617 14
328 71657 3
329 21790 23
329 32662 5
329 94959 83
330 38602 7
330 39217 56
330 55667 12
331 9069 52
331 53043 79
331 83059 31
331 85690 61
331 96109 22
332 74898 24
332 85276 68
333 33677 89
334 3323 42
334 28792 34
334 43833 53
334 71325 92
334 86157 16
334 94624 100
334 94720 50
335 18446 93
335 92184 62
336 16628 83
336 37564 42
336 61956 83
336 84345 1
337 35206 93
337 77801 8
337 88357 15
337 92495 95
337 93175 30
338 21121 19
338 32740 78
338 32857 37
338 38407 74
338 81162 90
338 98282 88
339 11355 53
339 71408 20
339 76191 49
340 46325 74
341 1664 43
341 53951 17
341 78927 62
342 16895 85
342 28062 50
342 30091 14
342 51259 76
342 58447 65
342 85687 14
342 97917 25
343 6087 58
343 41726 76
343 43090 8
343 78808 99
343 81588 58
343 86801 8
344 19235 91
344 23205 66
344 31958 23
344 40707 86
344 54448 95
344 66458 41
344 84876 63
345 6434 31
345 53796 15
345 80279 52
345 95373 19
345 99727 67
346 29870 72
346 39341 67
346 53472 41
346 76271 14
346 79322 83
346 89455 3
347 46265 99
347 52295 33
347 57870 17
347 98572 74
348 32648 98
348 67095 30
348 81713 99
349 6448 55
349 31549 5
349 60033 6
349 70568 54
349 77327 63
350 8682 14
350 36024 45
350 64045 28
350 81895 36
350 98560 30
351 31066 23
351 42910 77
351 77338 93
351 86261 53
352 2250 92
352 22153 45
352 54323 72
353 68106 59
354 9767 16
354 13020 39
354 33495 99
354 51588 30
355 75506 22
355 79895 2
356 18328 28
356 21988 54
356 51263 18
356 76405 2
356 80781 51
356 80803 47
357 1091 1
357 42842 5
357 43479 52
357 92666 7
358 16139 58
358 31207 15
358 32038 21
358 44275 3
360 5665 43
360 19230 57
360 54233 32
361 21529 65
361 23393 33
361 37505 24
361 93367 18
362 12089 25
362 41621 68
362 46795 89
362 63548 83
363 53070 84
363 61856 27
363 80382 82
364 9471 13
364 18263 48
364 21926 83
364 31475 41
364 35495 2
364 58587 100
364 83671 42
365 32366 52
365 44260 47
365 53796 42
366 83858 57
367 53651 99
367 62951 49
367 82895 15
368 5961 14
368 11169 69
368 42680 17
369 11812 56
369 12290 25
369 19970 49
369 48976 20
369 85115 58
370 6048 73
370 20339 37
370 30121 82
370 55006 41
371 49093 26
371 53359 65
371 54794 24
371 78735 52
372 2527 46
372 4343 36
372 65220 100
372 71637 28
372 73448 76
373 12849 1
373 84254 28
373 86353 18
374 6939 53
374 43765 75
374 63490 60
374 83766 10
375 45887 74
375 50173 8
375 61569 24
376 1609 87
376 8247 76
376 10046 41
376 55646 42
377 5566 100
377 32231 89
377 66320 62
377 67157 57
378 25117 61
378 32842 99
378 32847 39
378 42632 1
378 65535 24
378 75359 3
379 64605 25
379 76283 76
380 62094 48
381 31077 61
381 37011 76
381 68276 76
382 10059 37
382 21596 76
382 38309 4
382 38834 54
382 87336 29
382 91369 79
383 9738 13
383 29627 38
383 56800 52
384 8325 20
384 42755 62
384 43003 38
385 23933 96
385 94458 2
386 19183 80
386 22294 95
386 23490 91
386 42675 41
386 47024 52
386 57509 52
386 67764 39
386 77941 91
386 94334 52
387 70594 63
387 94899 93
389 5089 77
389 14562 38
389 18022 41
389 47187 37
390 46556 13
390 47580 17
390 83746 73
391 23928 89
391 48840 21
391 54855 26
391 68342 17
392 65682 99
392 87265 39
392 93933 55
392 99493 50
393 7705 59
393 26429 16
393 37460 87
393 86573 54
394 25016 18
394 84262 66
395 44479 49
395 53226 8
395 62355 7
395 83577 100
396 1636 60
396 28159 45
396 47905 90
396 59743 11
396 87934 8
396 96867 83
397 11513 87
397 70897 45
398 10152 23
398 37219 24
398 41739 58
398 69769 40
398 83430 96
399 28526 46
399 37630 60
399 53773 22
399 58172 63
399 64111 58
399 93099 60
400 36400 18
400 72250 7
400 86137 18
400 90342 34
400 94137 94
401 36967 72
401 40344 51
401 51123 60
401 58039 20
402 40412 59
402 41545 66
402 49110 19
402 51402 18
402 91812 11
403 47003 9
403 53088 29
404 69217 18
405 2768 92
405 6826 16
405 36106 63
405 54739 14
405 85838 39
406 78053 20
407 21716 54
407 24682 35
407 25434 66
408 17817 13
408 65929 56
408 82699 29
409 35819 71
409 50939 15
410 51614 46
410 62834 78
410 73969 33
410 82448 79
411 1955 72
411 25799 4
411 56252 30
411 63955 31
412 37568 24
412 67730 88
412 68496 97
412 70530 43
412 81586 6
412 96191 7
413 7785 51
413 39194 34
413 42521 25
413 64836 43
413 90628 50
413 96519 87
414 12748 57
414 17154 88
414 27996 6
414 31211 10
414 54385 23
414 57883 72
415 2008 22
415 32795 78
415 41926 100
415 86644 93
415 88657 93
415 99962 46
416 12306 70
416 52792 26
416 91564 24
416 92310 41
417 17767 30
417 34125 53
417 51451 71
417 69081 53
417 72463 41
417 82681 68
417 89372 95
418 13171 46
418 22378 74
418 23906 46
418 42074 80
418 89089 98
419 44577 88
419 78592 29
420 71319 85
420 78389 44
420 90159 17
420 90627 91
421 21804 53
421 23109 39
421 32433 62
421 45108 75
421 74098 17
421 84852 62
422 44216 67
422 51577 9
422 55362 7
422 85975 37
422 93977 34
423 27654 31
423 30737 77
423 39986 63
423 75829 83
423 86717 48
424 10626 16
424 25203 24
424 43680 15
424 45322 10
424 57187 69
424 83189 89
424 95900 55
425 4268 49
425 4997 87
425 26922 42
425 52928 78
426 1438 71
426 3611 86
426 25007 95
426 46624 61
426 48302 38
426 86093 34
427 74925 23
427 97515 13
428 1044 50
428 7651 84
428 75082 79
428 94589 58
429 18331 90
429 26880 15
429 43073 92
429 52190 20
430 6510 92
430 11808 55
430 26568 3
430 39291 40
430 44616 70
430 66747 26
431 78437 54
432 18340 79
432 73810 95
432 89906 43
433 6198 34
433 22432 44
433 31430 29
433 63008 76
433 70509 21
434 3557 100
434 31827 61
434 32439 15
434 38472 60
435 4429 98
435 48026 48
435 53609 82
435 58642 10
435 93877 98
436 14193 66
436 40533 89
436 47764 56
436 52210 56
436 78512 4
437 808 47
437 7173 75
437 10268 95
437 18027 2
437 46651 78
437 69525 35
437 85537 71
437 97537 4
438 1019 88
439 5099 50
439 8804 99
439 37935 31
439 38291 84
439 81478 42
439 86611 59
440 74585 59
440 80488 63
441 78875 59
441 90495 19
441 93081 78
442 5422 19
442 5759 17
442 70201 25
442 80742 100
442 92782 27
443 32122 23
444 19519 66
444 60833 16
445 32443 78
446 83208 21
447 15262 20
447 37791 25
447 78579 96
448 539 14
448 13986 26
448 14488 73
448 26394 49
448 28024 97
448 32754 77
448 33914 36
448 36335 46
448 37520 75
448 41976 67
448 44165 29
449 76327 16
450 22005 26
450 34860 88
450 41720 79
450 60064 84
450 80352 7
450 80994 56
450 90299 2
450 91058 24
451 32998 81
451 89779 2
452 31219 51
452 31802 3
453 71243 67
454 8200 66
454 38710 80
454 83165 87
454 90492 86
455 1715 4
455 4868 82
455 27631 99
455 35637 30
455 51366 55
455 92405 48
456 40331 26
456 43073 31
456 44364 83
456 94458 71
457 35361 6
457 91736 49
458 18854 100
458 42228 22
458 80073 75
458 95140 88
459 9486 100
459 11136 58
460 14122 94
460 23717 55
460 55056 59
460 60760 18
462 58353 36
463 7636 60
463 55214 68
463 76961 38
463 96809 27
464 8643 34
464 30992 18
464 76639 13
464 90790 19
464 91454 22
464 96322 95
465 41608 18
465 41912 51
465 75945 50
465 97059 65
466 10569 76
466 12046 81
466 81699 48
466 83212 47
467 16775 86
467 17758 97
467 63114 46
467 71077 7
468 56700 71
470 992 34
470 12534 7
470 33671 29
470 37978 28
470 76903 62
470 95930 87
471 49699 45
471 58161 97
471 77515 47
471 94076 13
471 95832 34
473 74887 73
474 18143 47
474 46798 52
474 89798 86
475 52581 66
475 54429 73
475 66099 81
475 69064 84
475 88244 23
476 36944 31
477 19883 49
477 22806 99
477 33554 11
477 34151 96
477 70465 45
478 8577 97
478 17172 93
478 35792 91
478 49747 4
478 62764 64
478 63617 24
478 65412 10
478 85620 92
479 35194 52
479 58507 71
479 65597 79
479 75312 96
480 33796 68
480 44297 25
480 51814 9
480 57049 1
480 90605 97
480 98859 56
482 243 53
482 14194 83
482 22519 21
483 10803 25
483 37665 63
483 64476 5
484 65784 48
484 85781 93
484 97805 53
485 39363 47
486 36976 3
486 37542 49
486 87596 91
488 11983 100
488 49082 41
488 86631 82
489 32654 3
489 72410 5
490 2133 5
490 2712 13
490 37391 96
490 49771 57
490 62828 83
490 89154 74
491 21303 53
491 26495 50
491 35553 99
491 36711 61
491 37304 51
491 71068 95
491 73536 17
492 54948 4
492 55395 77
492 60503 37
493 24957 29
493 50688 40
493 66505 41
493 72016 76
494 1854 32
494 26982 94
494 88944 23
495 1337 35
495 17326 42
495 26303 13
495 27257 35
495 40000 83
496 41465 94
496 46526 37
496 51987 87
496 55822 99
497 15425 49
497 62930 83
497 66701 55
497 74036 32
498 7630 57
498 24282 7
498 79573 82
500 2848 55
500 19641 68
500 20685 32
500 44281 50
500 78927 84
501 14348 36
501 14884 27
501 18710 21
501 27508 64
501 42035 66
501 69479 62
502 32151 39
502 33814 98
502 46499 55
502 54890 62
502 69595 33
502 88431 96
503 6959 74
503 21128 67
503 34671 78
503 50133 68
503 70323 3
504 1340 65
504 40059 67
505 32759 52
505 52683 47
505 53976 22
506 13468 83
506 59595 3
507 25931 29
507 48727 64
508 459 58
508 19793 96
508 43335 96
508 64621 7
508 67126 80
510 24738 31
510 31976 33
510 75088 1
511 31004 94
511 62680 99
512 16653 62
512 87100 33
513 55694 96
514 13997 16
514 95230 94
